Term	Language ID	Definition	External cross reference (definition)	Note (definition)	Note (Term)	Part of speech	Grammatical gender	Grammatical number	Pronunciation	Etymology	Orthographic variant	Acronym	Full form	Abbreviation	Derivative	Collocation	Synonym	Quasi synonym	Hypernym	Hyponym	Context	External cross reference (context)	Register	Common name	Scientific name	Domain	Subdomain	Sub-subdomain
cadastre viticole	fr	Ensemble de documents entreposés au Cadastre qui contiennent les informations liées au découpage du territoire en parcelles viticoles. Le cadastre viticole recense les noms des propriétaires et les différentes terres.	https://www.linternaute.fr/dictionnaire/fr/definition/cadastre-viticole/#:~:text=Ensemble%20de%20documents%20entrepos%C3%A9s%20au,propri%C3%A9taires%20et%20les%20diff%C3%A9rentes%20terres.	NA	NA	syntagme nominale	masculin	singulier	\ka.dastʁ.vitikol\	Vient de « case » (1765)Du latin caseus;Du latin viticola (« cultivateur »), venant lui-même de vitis (« vigne ») et colere (« cultiver »), par adjectivation.	NA	NA	NA	NA	NA	cadastre viticole à	casier viticole	archive viticole	base de données viticole	NA	Règlement délégué (UE) 2018/273 de la Commission du 11 décembre 2017 complétant le règlement (UE) n° 1308/2013 du Parlement européen et du Conseil en ce qui concerne le régime d'autorisations de plantations de vigne, le casier viticole, les documents d'accompagnement et la certification, le registre des entrées et des sorties, les déclarations obligatoires, les notifications et la publication des informations notifiées, complétant le règlement (UE) n° 1306/2013 du Parlement européen et du Conseil en ce qui concerne les contrôles et les sanctions applicables, modifiant les règlements (CE) n° 555/2008, (CE) n° 606/2009 et (CE) n° 607/2009 de la Commission et abrogeant le règlement (CE) n° 436/2009 de la Commission et le règlement délégué (UE) 2015/560 de la Commission . (J.O.U.E. du 28-02-2018)	https://www.economie.gouv.fr/dgccrf/publications/juridiques/panorama-des-textes/Viticulture-Vigne	spécialisé et non spécialisé	cadastre viticole	cadastre viticole	oenologie	législation	classification des vins
sous-zone	fr	subdivision d'une zone	https://www.cnrtl.fr/definition/sous-zone	NA	NA	substantif	féminin	singulier	\su.zon\	Emprunté au latin zona (« ceinture, zone »)	NA	NA	NA	NA	der.de zone	sous-zone géographique; sous-zone biogéographique; sous-zone de; sous-zone dans; sous-zone à; sous-zone pour; sous-zone en	NA	sous-région	NA	NA	les limites de la zone de chalandise, le découpage par sous-zone en fonction des modes de transport utilisés pour l'accès au projet et les principaux pôles d'activité de cette zone générant des flux de déplacement	https://www.circulaires.gouv.fr/codes/section_lc/LEGITEXT000005634379/LEGISCTA000020156274/2019-04-26/	spécialisé et non spécialisé	sous-zone	sous-zone	oenologie	législation	classification des vins
titre alcoométrique volumique	fr	On entend par «titre alcoométrique volumique», le rapport entre le volume d'alcool à l'état pur, à une température de 20 °C, contenu dans le produit considéré et le volume total de ce produit à cette température.	https://www.senat.fr/europe/textes_europeens/e6550.pdf	NA	NA	syntagme nominale	masculin	singulier	\titʁ.al.kɔ.me.tʁik. vɔ.ly.mik\	Du latin titulus; alcoométrique, Dérivé de alcoométrie avec le suffixe -ique; volumique, Dérivé de volume avec le suffixe -ique.	NA	TAV	NA	TAV	titre alcoométrique volumique potentiel; titre alcoométrique volumique naturel minimum; titre alcoométrique volumique minimum; titre alcoométrique volumique acquis; titre alcoométrique volumique total	titre alcoométrique volumique potentiel; titre alcoométrique volumique naturel minimum; titre alcoométrique volumique minimum; titre alcoométrique volumique acquis; titre alcoométrique volumique total; augmenter le titre alcoométrique volumique; titre alcoométrique volumique massique	degré alcoolique; degré d'alcool	NA	température du vin	NA	Vins du Val de Loire, en récipients d'une contenance n'excédant pas 2 litres, ayant un titre alcoométrique volumique acquis n'excédant pas 15% vol, avec AOP (à l'exclusion des vins mousseux, des vins pétillants et des vins blancs)	https://www.douane.gouv.fr/sites/default/files/bod/src/dana/da/Statistiques%20et%20etudes%20du%20commerce%20exterieur_19-049.pdf	spécialisé	degré alcoolique	titre alcoométrique volumique	oenologie	législation	classification des vins
titre alcoométique volumique naturel	fr	Le titre alcoométrique volumique naturel minimum ou degré d’alcool en puissance estimé à partir de la richesse en sucres de la vendange exprimé en % vol. correspond à la quantité d'alcool potentiel que doit atteindre le raisin après vendange présent dans le contenant de vinification (cuve de vinification) avant enrichissement en sucre pour pouvoir bénéficier d'un label particulier.	http://www.vinsvignesvignerons.com/Lexique/Titre-alcoometrique-volumique-naturel-minimum#:~:text=Le%20titre%20alcoom%C3%A9trique%20volumique%20naturel%20minimum%20ou%20degr%C3%A9%20d'alcool,la%20vendange%20exprim%C3%A9%20en%20%25%20vol.&text=Terme%20employ%C3%A9%20avant%20fermentation%20alcoolique,Il%20est%20exprim%C3%A9%20en%20%25%20vol.	NA	NA	syntagme nominale	masculin	singulier	\titʁ.al.kɔ.me.tʁik. vɔ.ly.mik. na.ty.ʁɛl\	Du latin titulus; alcoométrique, Dérivé de alcoométrie avec le suffixe -ique; volumique, Dérivé de volume avec le suffixe -ique; naturel, Emprunté au latin naturalis, dérivé de natura (« nature »)	NA	NA	NA	NA	NA	titre alcoométrique volumique naturel minimum; titre alcoométrique volumique naturel minimal; augmenter le titre volumique naturel;	degré d'alcool en puissance	titre alcoométrique volumique probable; titre alcoométrique volumique potentiel	température du vin	NA	Autorisation d'enrichissement. Lorsque les conditions climatiques le rendent nécessaire, l'augmentation du titre alcoométrique volumique naturel (enrichissement) des raisins frais, des moûts de raisins, des moûts de raisins partiellement fermentés, des vins nouveaux encore en fermentation et des vins peut être autorisée par arrêté du préfet de région pour tout ou partie des vins issus des raisins récoltés dans les départements de la région concernée.	https://www.legifrance.gouv.fr/loda/id/LEGITEXT000026231304/2020-08-24/	spécialisé	degré d'alcool en puissance	titre alcoométrique volumique naturel	oenologie	législation	classification des vins
vin de france	fr	Les VDF sont également désignés en tant que « vin sans indication géographique » (VSIG). Tout vin produit en France qui n’est pas accueilli par une appellation d’origine protégée (AOP, les anciens AOC) ou par une indication géographique protégée (IGP, les anciens Vin de Pays) est donc par définition un VDF.	https://www.vinparleur.net/?lang=fr	NA	NA	syntagme nominale	masculin	singulier	\vɛ̃.de.fʁɑ̃s\	Du latin vīnum; table, Du latin tabŭla	NA	VDF	NA	VDF	NA	NA	NA	vin sans indication géographique	marque d'origine	NA	l'accord interprofessionnel triennal 2017-2019 conclu le 12 décembre 2017 dans le cadre de l'ANIVIN de France et fixant l'assiette de la cotisation interprofessionnelle sont étendues jusqu'au 31 décembre 2018 [...] groupements de viticulteurs et négociants du ressort de l'ANIVIN de France, à l'exception de la cotisation prélevée sur les vins de France avec mention de cépage et/ou millésime.	https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000025362361	spécialisé et non spécialisé	vin de france	vin de france	oenologie	législation	classification des vins
vin blanc	fr	C’est un vin élaboré à partir de raisins blancs ou noirs et traité de telle sorte que le jus reste incolore ou légèrement jaune tout au long du processus de vinification	https://www.larvf.com/,vin-blanc-definition-dictionnaire-du-vin-vocabulaire-lexique,10355,4025335.asp	NA	NA	syntagme nominale	masculin	singulier	\vɛ̃ blɑ̃\	De vin et blanc, à cause de sa couleur.	NA	NA	NA	NA	NA	vin blanc sec; vin blanc moelleux; vin blanc liquoreux; vin blanc effervescent; vin blanc tranquille; vin blanc fruité; vin blanc doux; vin blanc pétillant; vin blanc demi-sec; vin blanc mousseux; vin blanc délicieux; vin blanc aromatique	NA	vin clair	NA	vin blanc doux; vin blanc sec; vin blanc liquoreux	Pour les vins produits en France, le coupage d'un vin blanc et d'un vin rouge ou rosé ne peut pas produire un vin rosé. Toutefois, ce coupage est admis lorsque le produit obtenu est destiné à l'élaboration d'un vin mousseux, d'un vin mousseux de qualité, d'un vin mousseux de qualité de type aromatique ou d'un vin pétillant.	https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000025804057	spécialisé et non spécialisé	vin blanc	vin blanc	oenologie	législation	classification des vins
vin de qualité	fr	NA	NA	vin d'excellente dégustation	NA	syntagme nominale	masculin	singulier	\vɛ̃. de. ka.li.te\	Du latin vīnum; du latin qualitas (« manière d'être », « nature (d'une chose) », « mode (des verbes) »), mot formé à partir de l'adjectif qualis (« tel », « quel », « tel quel »). Étymologiquement, la « qualité » est l'état de ce qui est « comme ça ».	NA	NA	NA	NA	NA	vin de qualité aromatique; vin de qualité supérieure; vin de qualité produit dans une région déterminée	NA	bon vin	vins renommés	NA	La route des vins se déroule au sein d'un domaine précis - notamment dans les zones viticoles productrices de vin de qualité, aux termes de la loi n° 164 du 10 février 1992 relative à la nouvelle réglementation des appellations d'origine - jalonné de vignobles, caves, entreprises agricoles, exploitations de produits typiques et traditionnels, structures d'accueil et ateliers artisanaux revêtant un intérêt particulier du point de vue naturel, paysager, architectural, historique et culturel.	http://www.consiglio.regione.vda.it/fr/app/leggieregolamenti/dettaglio?pk_lr=2708&versione=V	spécialisé et non spécialisé	vin de qualité	vin de qualité	oenologie	législation	classification des vins
vin aromatisé	fr	les vins aromatisés titrent entre 16 % et 21 % d'alcool, et sont obtenus à partir de substances principalement amères ou aromatiques, selon des recettes qui sont spécifiques à chaque maison productrice.	https://fr.wikipedia.org/wiki/Aromatisation_du_vin	NA	NA	syntagme nominale	masculin	singulier	\vɛ̃. a.ʁo.ma.ti.ze\	Du latin vīnum; aromatisé, Du latin aromatizare.	NA	NA	NA	NA	NA	vin liquoreux aromatisé; vin chaud aromatisé	vin parfumé; vin fruité; vin doux	apéritifs à base de vin; vin sucré	vin aromatisé	vin aromatisé; vin aromatique; vin semi-aromatique	les vins aromatisés ou apéritifs à base de vin (ABV) composés d’une base vinique d’au moins 75 % et dont le titre alcoométrique volumique total doit être égal ou supérieur à 17,5 % vol. Il s’agit essentiellement de vermouths.	https://www.economie.gouv.fr/dgccrf/les-produits-vinicoles-aromatises	spécialisé et non spécialisé	vin aromatisé	vin aromatisé	oenologie	législation	classification des vins
vin mousseux	fr	Il est le produit obtenu par première ou seconde fermentation alcoolique : De raisin frais, de moût de raisins, de vin, de vins de tables, de VQPRD. Ils sont caractérisés au débouchage de la bouteille par un dégagement d’anhydride carbonique provenant exclusivement de la fermentation et qui conservé à la température de 20° C dans des récipients fermés, accuse une surpression due à l’anhydride carbonique en solution non inférieure à 3 bars.	https://www.oenologie.fr/droit/legislation/definition-vin-mousseux.php	NA	NA	syntagme nominale	masculin	singulier	\vɛ̃. mu.søz\	Du latin vīnum; mousseux, de mousse, avec le suffixe -eux.	NA	NA	NA	NA	vin mousseux rosé; vin mousseux gazéifié; vin mousseux sec; vin mousseux brut; vin mousseux classique	déguster un vin mousseux; vin mousseux rosé; vin mousseux gazéifié; vin mousseux sec; vin mousseux brut; vin mousseux classique	vin gazéifié	NA	vin effervescent	vin mousseux gazéifié; vin mousseux naturel	Dès leur mise en circulation en dehors de leur aire d'élaboration ou de production, les vins mousseux, les vins mousseux de qualité et les vins mousseux de qualité de type aromatique, élaborés en France et bénéficiant d'une appellation d'origine protégée ou d'une indication géographique protégée comportent le nom de l'appellation d'origine ou de l'indication géographique protégée inscrit sur la partie du bouchon contenue dans le col de la bouteille et sont étiquetés conformément à la réglementation en vigueur.	https://www.legifrance.gouv.fr/loda/id/LEGITEXT000025829941/2019-12-24/	spécialisé et non spécialisé	vin mousseux	vin mousseux	oenologie	législation	classification des vins
vin de qualité produit dans une région déterminée	fr	Le terme Vin de qualité produit dans une région déterminée (VQPRD) a désigné, entre 19701 et 20092, certains vins produits sur le territoire de l'Union européenne. L'Europe divisait, pendant cette période, les vins en deux catégories : les « VQPRD » et les « Vins de table ».	https://fr.wikipedia.org/wiki/Vins_de_qualit%C3%A9_produits_dans_des_r%C3%A9gions_d%C3%A9termin%C3%A9es#:~:text=Le%20terme%20Vin%20de%20qualit%C3%A9,les%20%C2%AB%20Vins%20de%20table%20%C2%BB.	NA	NA	syntagme nominale	masculin	singulier	\vɛ̃.de.ka.li.te.pʁɔ.dɥi.dɑ̃.yn.ʁe.ʒjɔ̃. de.tɛʁ.mi.ne\	NA	NA	VQPRD	NA	VQPRD	NA	NA	NA	NA	marque d'origine	AOC; AOVDQS	Les instances compétentes pour procéder au déclassement d'un "vin de qualité produit dans une région déterminée" (VQPRD) prévu à l'article 56 du règlement CE n° 1493/1999 susvisé sont les services déconcentrés de la direction générale de la concurrence, de la consommation et de la répression des fraudes. Les échantillons prélevés selon la procédure des articles R. 215-4 et suivants du code de la consommation par les agents de la direction générale de la concurrence, de la consommation et de la répression des fraudes, lors des contrôles relatifs au déclassement des vins de qualité produits dans des régions déterminées, sont analysés par un laboratoire désigné conformément aux prescriptions de l'article R. 215-18 du code de la consommation. Le directeur du laboratoire établit ses conclusions après avoir pris l'avis d'experts dégustateurs désignés à cet effet par arrêté conjoint des ministres chargés respectivement de l'économie et de l'agriculture sur proposition de l'Institut national des appellations d'origine.	https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000223801/2001-06-15/	spécialisé et non spécialisé	vin de qualité produit dans une région déterminée	vin de qualité produit dans une région déterminée	oenologie	législation	classification des vins
zone d'origine	fr	NA	NA	région d'origine indiquant le lieu d'origine d'un produit et dans l'étiquette de la bouteille.	NA	syntagme nominale	féminin	singulier	\zon.de.ɔ.ʁi.ʒin\	zone, emprunté au latin zona (« ceinture, zone »); origine, Du latin ŏrigō, ŏrigĭnis (« origine, provenance, naissance »).	NA	NA	NA	NA	NA	zone d'origine géographique	NA	lieu d'origine	NA	NA	la mise en bouteille doit être effectuée dans la zone délimitée, conformément à l’article 8 du règlement (CE) no 607/2009, afin de préserver la qualité et l’image des vins d’AOP «Menfi», de garantir leur origine et d’assurer l’efficacité et le respect des dates des contrôles pertinents. Les caractéristiques et qualités typiques des vins d’AOP «Menfi», qui dépendent de la zone d’origine de ces vins, sont mieux protégées si les vins sont mis en bouteille à l’intérieur de la zone de production, car les producteurs se trouvant dans la zone délimitée sont responsables d’appliquer et de faire respecter toutes les règles techniques relatives au transport et à la mise en bouteille, et disposent des compétences professionnelles à cet égard. Cette obligation évite les risques possibles liés au transport en dehors de la zone viticole, par exemple: l’oxydation et le stress thermique causés par les températures élevées ou basses ainsi que	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:52020XC0120(04)&from=EN	spécialisé et non spécialisé	zone d'origine	zone d'origine	oenologie	législation	classification des vins
vin effervescent	fr	Le vin effervescent (ou mousseux) équivaut à un vin doté d’une surpression du gaz carbonique générée lors de la fermentation. Ce gaz carbonique est appelé également dioxyde de carbone ou anhydride carbonique ou CO2. Il est maintenu dissous dans le vin grâce à la fermeture hermétique de la bouteille. Il ne se dégagera qu’à son débouchage.	https://dico-du-vin.com/effervescent-vins-effervescents-mousseux-petillant-fines-bulles-perlant/	NA	NA	syntagme nominale	masculin	singulier	\vɛ̃. e.fɛʁ.ve.sɑ̃\	Du latin vīnum; effervescent, Du latin effervescens	NA	NA	NA	NA	NA	vin effervescent rosé; vin effervescent mousseux; vin effervescent brut; vin effervescent blanc; vin effervescent rouge; vin effervescent vinifié; déguster un vin effervescent; goûter un vin effervescent	NA	vin mousseux	vins spéciaux	vins pétillants; vins mousseux; vin perlant	Un vin effervescent dit Spumante est un vin qui a été conditionné en bouteille et qui présente une surpression supérieure à 3 bars à 20° Celsius. Cette surpression doit provenir exclusivement de la fermentation alcoolique de la cuvée à partir de laquelle le vin est élaboré (après adjonction de la liqueur de tirage). La fermentation peut avoir lieu en bouteille ou en cuve close. Il s’agit donc d’un vin mousseux.	http://www.monsieurbulles.com/pdf/Italie-pays.pdf	spécialisé et non spécialisé	vin effervescent	vin effervescent	oenologie	vins spéciaux	vin mousseux
acescence	fr	Maladie du vin en bouteille appelée aussi piqûre […]. Elle est provoquée par des bactéries acétiques qui tendent à rendre le vin acide. L’acescence se traduit par un goût de vinaigre.	https://dico-du-vin.com/acescence/	NA	On trouve aussi le terme « piqûre » ou « vin piqué ». Ce terme est employé également dans le sous-sous domaine de l'examen olfactif.	substantif	féminin	singulier	\a.se.sɑ̃s\	Dérivé du mot latin acescere, « aigrir ».	acescense	NA	NA	NA	acescent	acescence du vin	aigreur, piqûre, piqûre acétique, maladie de l'aigre, piquette	NA	Défauts du vin	NA	La molécule responsable de l'acescence est l'acétate d'éthyle, un composé chimique issu de la réaction chimique entre une molécule d'éthanol et une molécule d'acide acétique.	https://fr.wikipedia.org/wiki/Alt%C3%A9rations_du_vin#Acescence	spécialisé	piqûre	acescence	œnologie	dégustation	examen gustatif
altération	fr	Terme général comprenant les différentes maladies qui peuvent affecter le vin pendant la vinification et l’élevage. Ces accidents de vinification ou maladies font perdre la limpidité ou les qualités olfactives et gustatives du vin.	https://www.cavesa.ch/definition/alteration.html	NA	Ce terme est employé aussi dans les sous-sous domaines de l'examen olfactif et visuel.	substantif	féminin	singulier	\alteʀasjɔ̃\	Du bas latin alteratio	NA	NA	NA	NA	altérer, altéré	altération légère, altération profonde, alteration par + dét. + substantif	contamination, dégradation, détérioration, déformation, dénaturation	NA	NA	amertume, asséchance, acescence, goût de bouchon, goût d'amande amère, goût d’hydrocarbures, goût de styrène/caoutchouc, goût phénolé/animal, tourne ; [examen olfactif] : fleur ; [examen visuel] : casse.	Les altérations du vin sont variées, modifient son équilibre et ses propriétés visuelles, olfactives et gustatives.	https://fr.wikipedia.org/wiki/Alt%C3%A9rations_du_vin	spécialisé et non spécialisé	altération	altération	œnologie	dégustation	examen gustatif
amertume	fr	Saveur de base (surtout du vin rouge) mais si il y en a trop, il devient assez désagréable au fond de la gorge; lorsqu'elle est liée à des tanins peu mûrs (de petit poids moléculaire) ou au développement de bactéries attaquant le glycérol, elle provoque un goût amer (maladie de l’amertume).	https://www.vins-bourgogne.fr/glossaire/amertume,2530,9410.html?&args=Y29tcF9pZD0xNTU5JmFjdGlvbj12aWV3R2xvc3NhaXJlJmlkPSZtb3Q9NDJ8#:~:text=Saveur%20de%20vin%20(surtout%20rouge,maladie%20de%20l%27amertume).	définition redigée aussi à l'aide du site : https://vinquebec.com/vocabulaire	NA	substantif	féminin	singulier	\a.mɛʁ.tym\	Du latin amaritudo via son accusatif amaritudinem	amertûme	NA	NA	NA	amer, amertumer	amertume du vin, amertume gustative, légère amertume,	vin amer, goût amer	NA	sensations gustatives	NA	En l’état, l’amertume est souvent vue en œnologie comme un signe de manque maturité, allant de pair avec des arômes végétaux et une extraction mal maîtrisée.	https://www.vitisphere.com/index.php?mode=breve&id=87176&print=1	spécialisé et non spécialisé	amertume	amertume	œnologie	dégustation	examen gustatif
anion	fr	Un ion négatif du chlore, du soufre ou du phosphore qui renvoie à la présence de substances minérales dans le vin.	http://www.sulfate.ch/bonum_vinum/vins/la%20chimie%20du%20vin.htm	NA	NA	substantif	masculin	singulier	\anjɔ̃\	mot anglais, du grec aniôn « ce qui s'élève »	NA	NA	NA	NA	anionique	anion du vin, anion minéral, anion complexe double	NA	NA	substances minérales	NA	[…] il y a dans les vins plus de magnésium que de calcium, car il n'y a pas de diminution en cet élément pendant la fermentation et la conservation, les sels de magnésium des anions minéraux ou organiques du vin étant solubles.	https://www.futura-sciences.com/sciences/dossiers/chimie-chimie-vin-381/page/6/	spécialisé	NA	anion	œnologie	dégustation	examen gustatif
vin harmonieux	fr	Un vin est harmonieux lorsque ses constituants (les arômes, les tannins, l’acidité, le moelleux) sont bien équilibrés, bien dosés et cohérents jusqu'à se fondre ensemble.	https://avis-vin.lefigaro.fr/connaitre-deguster/tout-savoir-sur-le-vin/dictionnaire-vin/o20376-harmonieux	NA	le terme complexe est plus utilisé en français, même si « harmonie » existe aussi.	locution nominale	masculin	singulier	\vɛ̃aʁ.mɔ.njø\	Du latin vīnum et du latin harmonia et plus avant du grec ancien ἁρμονία (« union, agrément ») + -eux.	NA	NA	NA	NA	harmonie	être en harmonie, vin très harmonieux	vin équilibré, équilibre	NA	analyse qualitative du vin	NA	On peut dire que plus le vin est sucré, plus il demande un fort degré d’alcool pour rester harmonieux et pour ne pas tomber dans des notes pâteuses.	https://www.oenologie.fr/oeno/analyse/analysesenso5.shtml	spécialisé et non spécialisé	vin harmonieux	vin harmonieux	œnologie	dégustation	examen gustatif
arôme de bouche	fr	Arôme du vin perçu par voie rétro-nasale.	https://dico-du-vin.com/arome-de-bouche/	NA	Parfois, on trouve aussi « persistance aromatique en bouche »	locution nominale	masculin	singulier	\a.ʁomdəbuʃ\	Du latin aroma + De l’ancien français boche, buce, du latin bŭcca (« joue »), et « bouche » en latin familier. bŭcca et ses dérivés ont supplanté le latin classique os « bouche » dans toutes les langues romanes. Cognat de l’italien bocca.	NA	NA	NA	NA	NA	NA	persistance aromatique intense	NA	rétro-olfaction	NA	On distingue parfois « arôme de nez » et « arôme de bouche » pour différencier les arômes perçus par voie directe et ceux révélés en bouche grâce à la salive et la chaleur buccale.	http://chathe.fr/Lexique_degustation.html	spécialisé	arôme	persistance aromatique intense	œnologie	dégustation	examen gustatif
assouplir	fr	Un vin s’assouplit lorsqu’il perd de son astringence en devenant plus souple et plus agréable au palais. On dit aussi qu’il s’arrondit.	https://dico-du-vin.com/assouplir-degustation-qualite/	NA	NA	verbe transitif	NA	NA	\a.su.pliʁ\	Mot dérivé de souple avec le préfixe ad- et le suffixe -ir : de l’ancien français sople.	NA	NA	NA	NA	assouplissement, assoupli	assouplir les tanins	arrondir, rondeur	NA	NA	NA	Le gras peut permettre d'assouplir des tanins légèrement trop rêches d'un vin rouge en les enveloppant.	http://www.vinairium.com/degustation_du_vin.php	spécialisé et non spécialisé	assouplir	assouplir	œnologie	dégustation	examen gustatif
atténuer	fr	Rendre moins forts, moins intenses, moins graves une sensation, un sentiment, etc.	https://www.larousse.fr/dictionnaires/francais/att%C3%A9nuer/6256	dans le domaine oenologique, on se refère à des gôuts, des odeurs ou des arômes du vin.	NA	verbe transitif	NA	NA	\atenɥe\	du latin, de tenus → ténu	NA	NA	NA	NA	atténuation	atténuer une odeur/un gôut/une saveur/un effet	réduire, diminuer, corriger	NA	NA	NA	L'acidité atténue la sensation de sucré, mais accroît l'impression des tanins.	https://vinquebec.com/node/3695	non spécialisé et spécialisé	atténuer	atténuer	œnologie	dégustation	examen gustatif
mise en bouche	fr	C'est la première phase de l'examen gustatif lorsqu'on avine la bouche par la première gorgée de vin que l’on fait circuler soigneusement dans toute la cavité buccale.	NA	définition rédigée dès sites : https://vinquebec.com/node/4786, https://www.oenologie.fr/oeno/analyse/analysesenso5.shtml	le terme « aviner » existe mais il n'est pas courant	locution nominale	féminin	singulier	\mizɑ̃buʃ\	Féminin substantivé de mis + De l’ancien français boche, buce, du latin bŭcca (« joue »), et « bouche » en latin familier.	NA	NA	NA	NA	mettre en bouche	NA	avinage, enviner	NA	examen gustatif	NA	Lors de la mise en bouche du vin, différentes sensations tactiles sont perçues, ainsi que la perception d'arômes.	https://fr.wikipedia.org/wiki/D%C3%A9gustation_du_vin	spécialisé et non spécialisé	mise en bouche	avinage	œnologie	dégustation	examen gustatif
sensation de chaleur	fr	Sensation donnant en bouche une impression de température intérieure plus élevée. Cette sensation est due à l’alcool éthylique et, à plus de 13°, on perçoit une sensation de chaleur persistante au niveau des muqueuses (brûlant).	NA	définition rédigée dès sites : https://www.oenologie.fr/oeno/analyse/analysesenso5.shtml#:~:text=La%20sensation%20de%20chaleur%20d,%2C%20vineux%2C%20br%C3%BBlant%2C%20capiteux, https://www.cnrtl.fr/lexicographie/chaleureux	NA	locution nominale	féminin	singulier	\sɑ̃.sa.sjɔ̃dəʃa.lœʁ\	Du latin sensatio (« compréhension »), dérivé de sentire (« sentir ») + Du latin calor, caloris (« chaleur »).	NA	NA	NA	NA	sensation chaleureuse	sensation de chaleur persistante, sensation de chaleur en bouche	vin chaleureux, sensation pseudo-calorique, causticité	sensation pseudo-thermique, vin brûlant, vin alcooleux	sensations tactiles	NA	Le vin chaleureux est un vin qui en bouche nous fait éprouver une sensation pseudo-thermique, une sensation de chaleur. Cela est dû à une forte présence d'éthanol (alcool).	http://www.vin-vigne.com/lexique/groupe-degustation-analyse-organoleptique-des-vins.html	non spécialisé et spécialisé	sensation de chaleur	sensation de chaleur	œnologie	dégustation	examen gustatif
cavité buccale	fr	La cavité de la bouche, séparée des deux fosses nasales par le palais, et suivie du pharynx, sert à ingérer les aliments et les boissons, les mastiquer et imprégner de salive, puis ceux-ci descendent par l'œsophage à l'estomac.	https://fr.wiktionary.org/wiki/cavit%C3%A9_buccale	NA	NA	locution nominale	féminin	singulier	\ka.vi.teby.kal\	Du latin cavitas, de cavus (« creux ») + Du latin bucca (« bouche »).	NA	NA	NA	NA	NA	dans la cavité buccale, assecher la cavité buccale	cavité orale, bouche	NA	anatomie de la bouche	dent, langue, gencive, palais osseux, luette, papille linguale, amydgale palatine, palais mou, lèvre, isthme du gosier	Mettre en bouche une petite quantité de vin. Aspirer un filet d’air afin de permettre au vin déjà échauffé de libérer ses arômes dans la cavité buccale.	https://www.oenologie.fr/oeno/analyse/analysesenso5.shtml	spécialisé	bouche	cavité buccale	œnologie	dégustation	examen gustatif
corps	fr	C’est en quelque sorte l’impression du poids d’un vin en bouche dû à ses tannins et à sa teneur en alcool d’où l’expression avoir du corps. Il s’agit en fait de la perception que l’on a d’un vin apporté par les éléments qu’il contient selon leur intensité et leur persistance : sucres, alcools, polyalcools, acidité, tannins, sapidité, minéralité.	https://dico-du-vin.com/corps-du-vin-le/	NA	NA	substantif	masculin	singulier	\kɔʀ\	Du latin corpus, opposé à anima « âme »	NA	NA	NA	NA	corpeux	corps du vin, corps charnu, sans corps	structure, charpente, ossature, vin corpeux	consistance	NA	vin lourd, vin puissant, vin structuré, vin léger, vin faible	C’est le caractère onctueux d’un vin, on parle de « gras », il donne de la consistance, l'impression d'avoir en bouche un corps charnu.	https://fr.wikipedia.org/wiki/D%C3%A9gustation_du_vin	spécialisé et non spécialisé	corps	corps	œnologie	dégustation	examen gustatif
vin dur	fr	Excès de tannins et d’acidité. Cela peut s’atténuer dans le temps.	https://avis-vin.lefigaro.fr/connaitre-deguster/tout-savoir-sur-le-vin/dictionnaire-vin/o20347-dur	NA	NA	locution nominale	masculin	singulier	\vɛ̃dyʁ\	Du latin vīnum + du latin durus	NA	NA	NA	NA	dureté	NA	NA	NA	sensations gustatives	tannicité, acidité	Interprétation : une température plus basse exacerbe la dureté des tanins et leur côté astringent.	http://www.vinairium.com/degustation_du_vin.php	spécialisé	NA	vin dur	œnologie	dégustation	examen gustatif
équilibre	fr	L’harmonie d’un vin et sa qualité résident dans l’équilibre des ses saveurs et de ses arômes. Certaines saveurs trop prononcées en neutralisent d’autres. Plus précisément, cette harmonie se trouve essentiellement dans l’équilibre entre les goûts sucrés, acides et amers.	https://www.oenologie.fr/oeno/analyse/analysesenso5.shtml#:~:text=L%27%C3%A9quilibre%20des%20vins,go%C3%BBts%20sucr%C3%A9s%2C%20acides%20et%20amers.	NA	le terme complexe « vin équilibré » est très utilisé aussi.	substantif	masculin	singulier	\e.ki.libʁ\	Du latin aequilibrium, dérivé de aequus (« égal ») et libra (« balance, poids, livre »).	NA	NA	NA	NA	équilibré, équilibrer	équilibre des arômes/saveurs/goûts, équilibre d'un vin, déterminer l'équilibre	vin harmonieux/équilibré, harmonie	NA	examen gustatif	équilibre, déséquilibre	C’est elle qui permet de juger avec la plus grande objectivité possible de l’équilibre des saveurs et des arômes d’un vin. C’est en partie cet équilibre qui permet de hiérarchiser les vins.	https://www.usoe.ch/f/etre-oenologue/10-etapes-de-la-production-du-vin/degustation.asp	spécialisé et non spécialisé	équilibre	équilibre	œnologie	dégustation	examen gustatif
